"IndicatorCode","Indicator","ValueType","ParentLocationCode","ParentLocation","Location.type","SpatialDimValueCode","Location","Period.type","Period","IsLatestYear","Dim1.type","Dim1","Dim1ValueCode","Dim2.type","Dim2","Dim2ValueCode","Dim3.type","Dim3","Dim3ValueCode","DataSourceDimValueCode","DataSource","FactValueNumericPrefix","FactValueNumeric","FactValueUoM","FactValueNumericLowPrefix","FactValueNumericLow","FactValueNumericHighPrefix","FactValueNumericHigh","Value","FactValueTranslationID","FactComments","Language","DateModified","Region Name","M49 Code","Sub-region Name"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EMR","Eastern Mediterranean","Country","QAT","Qatar","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.47,NA,NA,18.89,NA,20.31,"19.5 [18.9-20.3]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",634,"Western Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EMR","Eastern Mediterranean","Country","JOR","Jordan","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.54,NA,NA,19.12,NA,20.06,"19.5 [19.1-20.1]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",400,"Western Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","WPR","Western Pacific","Country","MYS","Malaysia","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.47,NA,NA,19.3,NA,19.7,"19.5 [19.3-19.7]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",458,"South-eastern Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","AZE","Azerbaijan","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.51,NA,NA,19.28,NA,19.9,"19.5 [19.3-19.9]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",31,"Western Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","LTU","Lithuania","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.49,NA,NA,19.4,NA,19.59,"19.5 [19.4-19.6]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Europe",440,"Northern Europe"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","ATG","Antigua and Barbuda","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.59,NA,NA,NA,NA,NA,"19.6",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",28,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","UKR","Ukraine","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.59,NA,NA,18.75,NA,20.5,"19.6 [18.8-20.5]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Europe",804,"Eastern Europe"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","VEN","Venezuela (Bolivarian Republic of)","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.55,NA,NA,19.03,NA,20.13,"19.6 [19.0-20.1]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",862,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","LCA","Saint Lucia","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.59,NA,NA,19.01,NA,20.45,"19.6 [19.0-20.5]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",662,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","DOM","Dominican Republic","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.56,NA,NA,19.05,NA,20.15,"19.6 [19.1-20.2]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",214,"Latin America and the Caribbean"
