"Location","Value","Region Name"
"Armenia","17.7 [17.4-18.0]","Asia"
"Maldives","17.8 [17.4-18.1]","Asia"
"Ethiopia","17.8 [17.4-18.3]","Africa"
"Bahrain","17.8 [17.5-18.1]","Asia"
"Romania","17.8 [17.8-17.9]","Europe"
"Suriname","17.9 [16.8-19.2]","Americas"
"Mongolia","17.9 [17.6-18.3]","Asia"
"Iraq","18.0 [17.5-18.5]","Asia"
"Morocco","18.0 [17.7-18.5]","Africa"
"Belarus","18.1 [17.6-18.6]","Europe"
"Cuba","18.1 [17.9-18.4]","Americas"
"Turkmenistan","18.2 [17.6-18.9]","Asia"
"occupied Palestinian territory, including east Jerusalem","18.2 [17.8-18.6]","Asia"
"Libya","18.3 [17.7-18.9]","Africa"
"Syrian Arab Republic","18.3 [17.7-19.0]","Asia"
"Kyrgyzstan","18.3 [17.8-18.8]","Asia"
"Bosnia and Herzegovina","18.3 [17.9-18.9]","Europe"
"Malaysia","18.3 [18.2-18.6]","Asia"
"Tajikistan","18.4 [17.8-18.9]","Asia"
"Peru","18.4 [18.0-18.9]","Americas"
"Montenegro","18.4 [18.2-18.6]","Europe"
"Azerbaijan","18.4 [18.2-18.8]","Asia"
"Nigeria","18.5 [17.9-19.5]","Africa"
"Mexico","18.5 [18.5-18.5]","Americas"
"Grenada","18.6 [17.9-19.3]","Americas"
"Bahamas","18.6 [18.0-19.2]","Americas"
"Tunisia","18.7 [18.2-19.3]","Africa"
"Hungary","18.7 [18.6-18.7]","Europe"
"Slovakia","18.8 [18.7-18.8]","Europe"
"Tonga","18.9 [18.4-19.5]","Oceania"
"Latvia","18.9 [18.8-19.0]","Europe"
"Cabo Verde","19.0 [18.5-19.4]","Africa"
"Democratic People's Republic of Korea","19.1 [18.5-19.7]","Asia"
"Türkiye","19.3 [18.9-19.8]","Asia"
"Trinidad and Tobago","19.4 [18.4-20.4]","Americas"
"Lebanon","19.4 [19.0-19.7]","Asia"
"Seychelles","19.4 [19.2-19.7]","Africa"
"Brazil","19.4 [19.4-19.4]","Americas"
"Qatar","19.5 [18.9-20.3]","Asia"
"Lithuania","19.5 [19.4-19.6]","Europe"
"Venezuela (Bolivarian Republic of)","19.6 [19.0-20.1]","Americas"
"Viet Nam","19.6 [19.1-20.2]","Asia"
"Argentina","19.6 [19.5-19.7]","Americas"
"Bangladesh","19.7 [19.2-20.2]","Asia"
"Poland","19.8 [19.7-19.8]","Europe"
"El Salvador","19.9 [19.5-20.5]","Americas"
"Mauritius","19.9 [19.6-20.2]","Africa"
"Saint Vincent and the Grenadines","19.9 [19.6-20.3]","Americas"
"Albania","19.9 [19.6-20.4]","Europe"
"Iran (Islamic Republic of)","19.9 [19.8-20.0]","Asia"
"Ecuador","20.0 [19.5-20.5]","Americas"
"Jordan","20.0 [19.6-20.4]","Asia"
"Belize","20.1 [19.7-20.5]","Americas"
"Saudi Arabia","20.1 [19.7-20.5]","Asia"
"Colombia","20.1 [19.8-20.5]","Americas"
"Uruguay","20.2 [20.1-20.3]","Americas"
"Croatia","20.3 [20.2-20.4]","Europe"
"Czechia","20.3 [20.2-20.4]","Europe"
"United Arab Emirates","20.4 [19.9-21.0]","Asia"
"Antigua and Barbuda","20.9","Americas"
"Bhutan","20.9 [20.4-21.4]","Asia"
"Algeria","21.0 [20.7-21.3]","Africa"
"Estonia","21.0 [20.9-21.2]","Europe"
"China","21.2 [20.6-21.9]","Asia"
"Nicaragua","21.2 [20.8-21.6]","Americas"
"Dominican Republic","21.2 [20.8-21.8]","Americas"
"Barbados","21.3 [20.8-21.8]","Americas"
"Brunei Darussalam","21.3 [21.1-21.7]","Asia"
"Sri Lanka","21.6 [20.5-22.8]","Asia"
"United States of America","22.0 [22.0-22.1]","Americas"
"Kuwait","22.4 [22.0-22.9]","Asia"
"Panama","22.6 [22.0-23.2]","Americas"
"Greece","22.6 [22.6-22.7]","Europe"
"Thailand","22.7 [22.0-23.6]","Asia"
"Chile","22.9 [22.9-22.9]","Americas"
"Slovenia","23.0 [22.8-23.2]","Europe"
"Germany","23.2 [23.2-23.2]","Europe"
"United Kingdom of Great Britain and Northern Ireland","23.2 [23.2-23.3]","Europe"
"Austria","23.5 [23.4-23.5]","Europe"
